index,chembl_id,smiles,ic50,mw
158,CHEMBL470907,CCN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,71500,389.5
159,CHEMBL4470448,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO)c4)CC3)cc2oc1=O,740,451.56
160,CHEMBL3335066,O=c1oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c2ccccc12,3700,428.53
161,CHEMBL151763,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1,11000,250.34
162,CHEMBL99414,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2,1120.5,261.32
163,CHEMBL3290190,CN1C/C(=C/c2ccc(N3CCCC3)cc2)C(=O)/C(=C/c2ccc(N3CCCC3)cc2)C1,66750,427.59
164,CHEMBL4073501,CC1(C)CNC2=C([N+](=O)[O-])C3(C(C#N)=C(N)N2C1)c1ccccc1-c1nc2ccc([N+](=O)[O-])cc2nc13,10100,496.49
165,CHEMBL3823464,Cc1cccc(CN2CCC(CC(=O)NCCc3c[nH]c4ccccc34)CC2)c1,850,389.54
166,CHEMBL2414858,O=C(N/N=C/c1ccc(O)cc1O)Nc1ccncc1,58250,272.26
167,CHEMBL3122169,CCNCc1ccc2nc(-c3cccnc3)c3c(c2c1)NCCC3,2590,318.42
168,CHEMBL106932,CC(C)=NNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],8400,450.52
169,CHEMBL4575167,FC(F)(F)c1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)cc1,3900,346.4
170,CHEMBL4443695,Fc1ccc(CNC2CCN(Cc3ccccc3)CC2)c(F)c1,3100,316.39
171,CHEMBL328165,CCCCC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21,13000,482.86
172,CHEMBL4459500,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,56,500.47
173,CHEMBL3914364,COc1cccc2c1C=[N+](c1ccc(Cl)cc1)CC2.[Br-],62100,352.66
174,CHEMBL4277548,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cc([N+](=O)[O-])ccc2o1,9300,435.48
175,CHEMBL3628054,O=C(NCCc1c[nH]c2ccccc12)c1ccc[n+](Cc2ccccc2F)c1.[Br-],340,454.34
176,CHEMBL3957605,COc1cccc2c1C=[N+](c1ccc(C)cc1)CC2.[Br-],47100,332.24
177,CHEMBL417799,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,7080,332.34
